outcome,age_group,year_pair,state,estimate,ci_lower,ci_upper
Marijuana Use in the Past Month,12 or Older,2003-04,Georgia,0.05473,0.045002,0.066414
Marijuana Use in the Past Month,12 or Older,2003-04,Hawaii,0.065241,0.053251,0.079705
Marijuana Use in the Past Month,12 or Older,2003-04,Idaho,0.048336,0.039711,0.058719
Marijuana Use in the Past Month,12 or Older,2003-04,Illinois,0.057449,0.051598,0.06392
Marijuana Use in the Past Month,12 or Older,2003-04,Indiana,0.055932,0.046411,0.067269
Marijuana Use in the Past Month,12 or Older,2003-04,Iowa,0.046986,0.038303,0.05752
Marijuana Use in the Past Month,12 or Older,2003-04,Kansas,0.050246,0.041054,0.061365
Marijuana Use in the Past Month,12 or Older,2003-04,Kentucky,0.064404,0.053745,0.077006
Marijuana Use in the Past Month,12 or Older,2003-04,Louisiana,0.052485,0.043833,0.062734
Marijuana Use in the Past Month,12 or Older,2003-04,Maine,0.082661,0.06966,0.097834
Marijuana Use in the Past Month,12 or Older,2003-04,Maryland,0.055368,0.045386,0.067392
Marijuana Use in the Past Month,12 or Older,2003-04,Massachusetts,0.087039,0.074524,0.101426
Marijuana Use in the Past Month,12 or Older,2003-04,Michigan,0.072332,0.065649,0.079637
Marijuana Use in the Past Month,12 or Older,2003-04,Minnesota,0.060978,0.050138,0.073979
Marijuana Use in the Past Month,12 or Older,2003-04,Mississippi,0.042286,0.034235,0.052129
Marijuana Use in the Past Month,12 or Older,2003-04,Missouri,0.063828,0.053465,0.076037
Marijuana Use in the Past Month,12 or Older,2003-04,Montana,0.079488,0.066834,0.094294
Marijuana Use in the Past Month,12 or Older,2003-04,Nebraska,0.053068,0.043683,0.064333
Marijuana Use in the Past Month,12 or Older,2003-04,Nevada,0.061648,0.050953,0.074411
Marijuana Use in the Past Month,12 or Older,2003-04,New Hampshire,0.086849,0.073364,0.102539
Marijuana Use in the Past Month,12 or Older,2003-04,New Jersey,0.050065,0.041138,0.060806
Marijuana Use in the Past Month,12 or Older,2003-04,New Mexico,0.086531,0.072504,0.102969
Marijuana Use in the Past Month,12 or Older,2003-04,New York,0.07432,0.06745,0.081828
Marijuana Use in the Past Month,12 or Older,2003-04,North Carolina,0.056165,0.04661,0.067541
Marijuana Use in the Past Month,12 or Older,2003-04,North Dakota,0.056195,0.046341,0.067996
Marijuana Use in the Past Month,12 or Older,2003-04,Ohio,0.061074,0.055502,0.067165
Marijuana Use in the Past Month,12 or Older,2003-04,Oklahoma,0.056026,0.046184,0.067816
Marijuana Use in the Past Month,12 or Older,2003-04,Oregon,0.080324,0.067933,0.094745
Marijuana Use in the Past Month,12 or Older,2003-04,Pennsylvania,0.060195,0.054681,0.066227
Marijuana Use in the Past Month,12 or Older,2003-04,Rhode Island,0.091443,0.077989,0.106947
Marijuana Use in the Past Month,12 or Older,2003-04,South Carolina,0.057414,0.047648,0.069038
Marijuana Use in the Past Month,12 or Older,2003-04,South Dakota,0.048882,0.040074,0.059506
Marijuana Use in the Past Month,12 or Older,2003-04,Tennessee,0.050263,0.040991,0.061499
Marijuana Use in the Past Month,12 or Older,2003-04,Texas,0.046879,0.042043,0.052242
Marijuana Use in the Past Month,12 or Older,2003-04,Utah,0.042112,0.033678,0.052542
Marijuana Use in the Past Month,12 or Older,2003-04,Vermont,0.089925,0.076709,0.105159
Marijuana Use in the Past Month,12 or Older,2003-04,Virginia,0.053919,0.044346,0.065417
Marijuana Use in the Past Month,12 or Older,2003-04,Washington,0.063569,0.052785,0.076378
Marijuana Use in the Past Month,12 or Older,2003-04,West Virginia,0.056069,0.046587,0.067344
Marijuana Use in the Past Month,12 or Older,2003-04,Wisconsin,0.057481,0.047566,0.069312
Marijuana Use in the Past Month,12 or Older,2003-04,Wyoming,0.057027,0.046928,0.06914
Marijuana Use in the Past Month,12 or Older,2004-05,Alabama,0.048965,0.040357,0.059295
Marijuana Use in the Past Month,12 or Older,2004-05,Alaska,0.101174,0.08516,0.119805
Marijuana Use in the Past Month,12 or Older,2004-05,Arizona,0.053319,0.044088,0.064353
Marijuana Use in the Past Month,12 or Older,2004-05,Arkansas,0.055176,0.04575,0.066408
Marijuana Use in the Past Month,12 or Older,2004-05,California,0.067029,0.060489,0.074221
Marijuana Use in the Past Month,12 or Older,2004-05,Colorado,0.075309,0.063525,0.089071
Marijuana Use in the Past Month,12 or Older,2004-05,Connecticut,0.075856,0.063888,0.089851
Marijuana Use in the Past Month,12 or Older,2004-05,Delaware,0.061879,0.052325,0.073042
Marijuana Use in the Past Month,12 or Older,2004-05,District of Columbia,0.072728,0.059893,0.088057
Marijuana Use in the Past Month,12 or Older,2004-05,Florida,0.058984,0.05315,0.065413
Marijuana Use in the Past Month,12 or Older,2004-05,Georgia,0.05632,0.046222,0.068465
Marijuana Use in the Past Month,12 or Older,2004-05,Hawaii,0.061629,0.049495,0.076498
Marijuana Use in the Past Month,12 or Older,2004-05,Idaho,0.050534,0.041792,0.060988
Marijuana Use in the Past Month,12 or Older,2004-05,Illinois,0.055857,0.050439,0.06182
Marijuana Use in the Past Month,12 or Older,2004-05,Indiana,0.051241,0.042391,0.061819
Marijuana Use in the Past Month,12 or Older,2004-05,Iowa,0.042352,0.034576,0.051781
Marijuana Use in the Past Month,12 or Older,2004-05,Kansas,0.05271,0.043437,0.063831
Marijuana Use in the Past Month,12 or Older,2004-05,Kentucky,0.061149,0.050952,0.07323
Marijuana Use in the Past Month,12 or Older,2004-05,Louisiana,0.055448,0.046135,0.06651
Marijuana Use in the Past Month,12 or Older,2004-05,Maine,0.085513,0.072242,0.100957
Marijuana Use in the Past Month,12 or Older,2004-05,Maryland,0.050967,0.041649,0.062234
Marijuana Use in the Past Month,12 or Older,2004-05,Massachusetts,0.075689,0.0646,0.088501
Marijuana Use in the Past Month,12 or Older,2004-05,Michigan,0.067073,0.060835,0.073901
Marijuana Use in the Past Month,12 or Older,2004-05,Minnesota,0.06957,0.058115,0.083085
Marijuana Use in the Past Month,12 or Older,2004-05,Mississippi,0.047857,0.038805,0.058893
Marijuana Use in the Past Month,12 or Older,2004-05,Missouri,0.055444,0.04593,0.066791
Marijuana Use in the Past Month,12 or Older,2004-05,Montana,0.081744,0.068877,0.096764
Marijuana Use in the Past Month,12 or Older,2004-05,Nebraska,0.050231,0.041229,0.061073
Marijuana Use in the Past Month,12 or Older,2004-05,Nevada,0.060958,0.050602,0.073269
Marijuana Use in the Past Month,12 or Older,2004-05,New Hampshire,0.075955,0.064189,0.089671
Marijuana Use in the Past Month,12 or Older,2004-05,New Jersey,0.051232,0.04214,0.062159
Marijuana Use in the Past Month,12 or Older,2004-05,New Mexico,0.066365,0.055364,0.079367
Marijuana Use in the Past Month,12 or Older,2004-05,New York,0.072654,0.066199,0.079684
Marijuana Use in the Past Month,12 or Older,2004-05,North Carolina,0.056496,0.04686,0.067971
Marijuana Use in the Past Month,12 or Older,2004-05,North Dakota,0.047065,0.037784,0.058486
Marijuana Use in the Past Month,12 or Older,2004-05,Ohio,0.059998,0.054232,0.066334
Marijuana Use in the Past Month,12 or Older,2004-05,Oklahoma,0.051807,0.042665,0.062779
Marijuana Use in the Past Month,12 or Older,2004-05,Oregon,0.083647,0.071045,0.098249
Marijuana Use in the Past Month,12 or Older,2004-05,Pennsylvania,0.061068,0.055232,0.067476
Marijuana Use in the Past Month,12 or Older,2004-05,Rhode Island,0.089182,0.076421,0.103834
Marijuana Use in the Past Month,12 or Older,2004-05,South Carolina,0.054562,0.044974,0.066053
Marijuana Use in the Past Month,12 or Older,2004-05,South Dakota,0.04981,0.041185,0.060127
Marijuana Use in the Past Month,12 or Older,2004-05,Tennessee,0.058515,0.048084,0.07104
Marijuana Use in the Past Month,12 or Older,2004-05,Texas,0.04648,0.041657,0.051831
Marijuana Use in the Past Month,12 or Older,2004-05,Utah,0.04801,0.039078,0.058858
Marijuana Use in the Past Month,12 or Older,2004-05,Vermont,0.090449,0.077293,0.105587
Marijuana Use in the Past Month,12 or Older,2004-05,Virginia,0.048916,0.040154,0.059471
Marijuana Use in the Past Month,12 or Older,2004-05,Washington,0.070129,0.058343,0.084085
Marijuana Use in the Past Month,12 or Older,2004-05,West Virginia,0.058312,0.048674,0.06972
Marijuana Use in the Past Month,12 or Older,2004-05,Wisconsin,0.060058,0.050506,0.071281
Marijuana Use in the Past Month,12 or Older,2004-05,Wyoming,0.056587,0.046833,0.068226
Marijuana Use in the Past Month,12 or Older,2005-06,Alabama,0.047454,0.038378,0.058545
Marijuana Use in the Past Month,12 or Older,2005-06,Alaska,0.089263,0.075381,0.105409
Marijuana Use in the Past Month,12 or Older,2005-06,Arizona,0.051879,0.042575,0.063083
Marijuana Use in the Past Month,12 or Older,2005-06,Arkansas,0.057274,0.047124,0.069451
Marijuana Use in the Past Month,12 or Older,2005-06,California,0.06681,0.060402,0.073845
Marijuana Use in the Past Month,12 or Older,2005-06,Colorado,0.077573,0.065206,0.092054
Marijuana Use in the Past Month,12 or Older,2005-06,Connecticut,0.075973,0.063834,0.090198
Marijuana Use in the Past Month,12 or Older,2005-06,Delaware,0.059107,0.049492,0.070452
Marijuana Use in the Past Month,12 or Older,2005-06,District of Columbia,0.084093,0.071503,0.098665
Marijuana Use in the Past Month,12 or Older,2005-06,Florida,0.056803,0.051035,0.063181
Marijuana Use in the Past Month,12 or Older,2005-06,Georgia,0.058357,0.047652,0.071287
Marijuana Use in the Past Month,12 or Older,2005-06,Hawaii,0.055832,0.045119,0.068905
Marijuana Use in the Past Month,12 or Older,2005-06,Idaho,0.053031,0.043729,0.064179
Marijuana Use in the Past Month,12 or Older,2005-06,Illinois,0.05378,0.048425,0.059689
Marijuana Use in the Past Month,12 or Older,2005-06,Indiana,0.055074,0.046181,0.065562
Marijuana Use in the Past Month,12 or Older,2005-06,Iowa,0.046399,0.038063,0.056454
Marijuana Use in the Past Month,12 or Older,2005-06,Kansas,0.05819,0.048247,0.070031
Marijuana Use in the Past Month,12 or Older,2005-06,Kentucky,0.049562,0.040601,0.060376
Marijuana Use in the Past Month,12 or Older,2005-06,Louisiana,0.055447,0.045888,0.066856
Marijuana Use in the Past Month,12 or Older,2005-06,Maine,0.091441,0.078627,0.106103
Marijuana Use in the Past Month,12 or Older,2005-06,Maryland,0.0476,0.039092,0.057848
Marijuana Use in the Past Month,12 or Older,2005-06,Massachusetts,0.080502,0.068766,0.094038
Marijuana Use in the Past Month,12 or Older,2005-06,Michigan,0.064373,0.058534,0.07075
Marijuana Use in the Past Month,12 or Older,2005-06,Minnesota,0.071633,0.059449,0.086087
Marijuana Use in the Past Month,12 or Older,2005-06,Mississippi,0.05071,0.04164,0.061629
Marijuana Use in the Past Month,12 or Older,2005-06,Missouri,0.054213,0.04483,0.065425
Marijuana Use in the Past Month,12 or Older,2005-06,Montana,0.09402,0.079996,0.110208
Marijuana Use in the Past Month,12 or Older,2005-06,Nebraska,0.052065,0.042975,0.062951
Marijuana Use in the Past Month,12 or Older,2005-06,Nevada,0.067687,0.055991,0.081615
Marijuana Use in the Past Month,12 or Older,2005-06,New Hampshire,0.077335,0.065419,0.09121
Marijuana Use in the Past Month,12 or Older,2005-06,New Jersey,0.052143,0.042935,0.063195
Marijuana Use in the Past Month,12 or Older,2005-06,New Mexico,0.061763,0.051394,0.07406
Marijuana Use in the Past Month,12 or Older,2005-06,New York,0.071224,0.064807,0.078223
Marijuana Use in the Past Month,12 or Older,2005-06,North Carolina,0.056107,0.046719,0.067248
Marijuana Use in the Past Month,12 or Older,2005-06,North Dakota,0.043114,0.034804,0.053299
Marijuana Use in the Past Month,12 or Older,2005-06,Ohio,0.061138,0.055246,0.067613
Marijuana Use in the Past Month,12 or Older,2005-06,Oklahoma,0.052564,0.042724,0.064518
Marijuana Use in the Past Month,12 or Older,2005-06,Oregon,0.078517,0.066168,0.092941
Marijuana Use in the Past Month,12 or Older,2005-06,Pennsylvania,0.059626,0.053653,0.066217
Marijuana Use in the Past Month,12 or Older,2005-06,Rhode Island,0.093308,0.080334,0.10813
Marijuana Use in the Past Month,12 or Older,2005-06,South Carolina,0.054619,0.045213,0.065846
Marijuana Use in the Past Month,12 or Older,2005-06,South Dakota,0.052393,0.043123,0.063523
Marijuana Use in the Past Month,12 or Older,2005-06,Tennessee,0.060571,0.050167,0.072967
Marijuana Use in the Past Month,12 or Older,2005-06,Texas,0.0434,0.038791,0.048528
Marijuana Use in the Past Month,12 or Older,2005-06,Utah,0.042848,0.034502,0.053101
Marijuana Use in the Past Month,12 or Older,2005-06,Vermont,0.098575,0.084633,0.114527
Marijuana Use in the Past Month,12 or Older,2005-06,Virginia,0.055278,0.045662,0.066777
Marijuana Use in the Past Month,12 or Older,2005-06,Washington,0.081444,0.068624,0.096411
Marijuana Use in the Past Month,12 or Older,2005-06,West Virginia,0.060216,0.050433,0.071753
Marijuana Use in the Past Month,12 or Older,2005-06,Wisconsin,0.055834,0.046421,0.067021
Marijuana Use in the Past Month,12 or Older,2005-06,Wyoming,0.068427,0.057387,0.081407
Marijuana Use in the Past Month,12 or Older,2006-07,Alabama,0.044656,0.03623,0.054929
Marijuana Use in the Past Month,12 or Older,2006-07,Alaska,0.080183,0.066399,0.096533
Marijuana Use in the Past Month,12 or Older,2006-07,Arizona,0.053701,0.044064,0.065303
Marijuana Use in the Past Month,12 or Older,2006-07,Arkansas,0.058305,0.048168,0.070418
Marijuana Use in the Past Month,12 or Older,2006-07,California,0.065668,0.05945,0.072486
Marijuana Use in the Past Month,12 or Older,2006-07,Colorado,0.081342,0.068565,0.096255
Marijuana Use in the Past Month,12 or Older,2006-07,Connecticut,0.062126,0.052067,0.073978
Marijuana Use in the Past Month,12 or Older,2006-07,Delaware,0.062699,0.052306,0.074993
Marijuana Use in the Past Month,12 or Older,2006-07,District of Columbia,0.096755,0.082719,0.112879
Marijuana Use in the Past Month,12 or Older,2006-07,Florida,0.055515,0.049793,0.061852
Marijuana Use in the Past Month,12 or Older,2006-07,Georgia,0.056305,0.045976,0.068786
Marijuana Use in the Past Month,12 or Older,2006-07,Hawaii,0.055034,0.044948,0.067225
Marijuana Use in the Past Month,12 or Older,2006-07,Idaho,0.052855,0.043868,0.06356
Marijuana Use in the Past Month,12 or Older,2006-07,Illinois,0.054471,0.049153,0.060328
Marijuana Use in the Past Month,12 or Older,2006-07,Indiana,0.059986,0.050296,0.071403
Marijuana Use in the Past Month,12 or Older,2006-07,Iowa,0.038179,0.03098,0.046968
Marijuana Use in the Past Month,12 or Older,2006-07,Kansas,0.055833,0.046217,0.067309
Marijuana Use in the Past Month,12 or Older,2006-07,Kentucky,0.05701,0.047647,0.068081
Marijuana Use in the Past Month,12 or Older,2006-07,Louisiana,0.054477,0.044849,0.066029
Marijuana Use in the Past Month,12 or Older,2006-07,Maine,0.083483,0.070735,0.098285
Marijuana Use in the Past Month,12 or Older,2006-07,Maryland,0.049999,0.041498,0.060132
Marijuana Use in the Past Month,12 or Older,2006-07,Massachusetts,0.079176,0.066839,0.093561
Marijuana Use in the Past Month,12 or Older,2006-07,Michigan,0.06993,0.063568,0.076876
Marijuana Use in the Past Month,12 or Older,2006-07,Minnesota,0.072555,0.060659,0.086568
Marijuana Use in the Past Month,12 or Older,2006-07,Mississippi,0.046526,0.037547,0.057523
Marijuana Use in the Past Month,12 or Older,2006-07,Missouri,0.055288,0.045467,0.067081
Marijuana Use in the Past Month,12 or Older,2006-07,Montana,0.087027,0.074657,0.101221
Marijuana Use in the Past Month,12 or Older,2006-07,Nebraska,0.050145,0.041059,0.061112
Marijuana Use in the Past Month,12 or Older,2006-07,Nevada,0.05888,0.047613,0.07261
Marijuana Use in the Past Month,12 or Older,2006-07,New Hampshire,0.082442,0.069931,0.096956
Marijuana Use in the Past Month,12 or Older,2006-07,New Jersey,0.047005,0.038062,0.057921
Marijuana Use in the Past Month,12 or Older,2006-07,New Mexico,0.070256,0.0587,0.083884
Marijuana Use in the Past Month,12 or Older,2006-07,New York,0.069607,0.063038,0.076804
Marijuana Use in the Past Month,12 or Older,2006-07,North Carolina,0.053079,0.043857,0.06411
Marijuana Use in the Past Month,12 or Older,2006-07,North Dakota,0.049721,0.040969,0.060225
Marijuana Use in the Past Month,12 or Older,2006-07,Ohio,0.060325,0.05459,0.066621
Marijuana Use in the Past Month,12 or Older,2006-07,Oklahoma,0.05202,0.041511,0.06501
Marijuana Use in the Past Month,12 or Older,2006-07,Oregon,0.074875,0.062693,0.089199
Marijuana Use in the Past Month,12 or Older,2006-07,Pennsylvania,0.053602,0.04807,0.059731
Marijuana Use in the Past Month,12 or Older,2006-07,Rhode Island,0.104409,0.090208,0.12055
Marijuana Use in the Past Month,12 or Older,2006-07,South Carolina,0.04808,0.039368,0.058604
Marijuana Use in the Past Month,12 or Older,2006-07,South Dakota,0.053916,0.044445,0.065268
Marijuana Use in the Past Month,12 or Older,2006-07,Tennessee,0.056306,0.046935,0.067415
Marijuana Use in the Past Month,12 or Older,2006-07,Texas,0.042445,0.037801,0.047631
Marijuana Use in the Past Month,12 or Older,2006-07,Utah,0.041494,0.033629,0.051101
Marijuana Use in the Past Month,12 or Older,2006-07,Vermont,0.100378,0.086294,0.116467
Marijuana Use in the Past Month,12 or Older,2006-07,Virginia,0.065718,0.055358,0.077857
Marijuana Use in the Past Month,12 or Older,2006-07,Washington,0.074945,0.063119,0.088777
Marijuana Use in the Past Month,12 or Older,2006-07,West Virginia,0.051874,0.043179,0.062204
Marijuana Use in the Past Month,12 or Older,2006-07,Wisconsin,0.059209,0.049613,0.070522
Marijuana Use in the Past Month,12 or Older,2006-07,Wyoming,0.068088,0.057377,0.080628
Marijuana Use in the Past Month,12 or Older,2007-08,Alabama,0.045725,0.037193,0.056101
Marijuana Use in the Past Month,12 or Older,2007-08,Alaska,0.091252,0.075384,0.110062
Marijuana Use in the Past Month,12 or Older,2007-08,Arizona,0.058098,0.047086,0.071493
Marijuana Use in the Past Month,12 or Older,2007-08,Arkansas,0.054995,0.045115,0.066886
Marijuana Use in the Past Month,12 or Older,2007-08,California,0.0666,0.059824,0.074083
Marijuana Use in the Past Month,12 or Older,2007-08,Colorado,0.092082,0.076931,0.10986
Marijuana Use in the Past Month,12 or Older,2007-08,Connecticut,0.064735,0.054529,0.076698
Marijuana Use in the Past Month,12 or Older,2007-08,Delaware,0.07108,0.058773,0.08573
Marijuana Use in the Past Month,12 or Older,2007-08,District of Columbia,0.096571,0.081221,0.11446
Marijuana Use in the Past Month,12 or Older,2007-08,Florida,0.056192,0.049755,0.063406
Marijuana Use in the Past Month,12 or Older,2007-08,Georgia,0.054431,0.044215,0.066841
Marijuana Use in the Past Month,12 or Older,2007-08,Hawaii,0.066995,0.053867,0.083041
Marijuana Use in the Past Month,12 or Older,2007-08,Idaho,0.057411,0.047265,0.069575
Marijuana Use in the Past Month,12 or Older,2007-08,Illinois,0.054161,0.048349,0.060628
Marijuana Use in the Past Month,12 or Older,2007-08,Indiana,0.062333,0.051912,0.074682
Marijuana Use in the Past Month,12 or Older,2007-08,Iowa,0.032797,0.025771,0.041658
Marijuana Use in the Past Month,12 or Older,2007-08,Kansas,0.050991,0.040994,0.063265
Marijuana Use in the Past Month,12 or Older,2007-08,Kentucky,0.056581,0.046618,0.06852
Marijuana Use in the Past Month,12 or Older,2007-08,Louisiana,0.050151,0.04087,0.061405
Marijuana Use in the Past Month,12 or Older,2007-08,Maine,0.081638,0.06864,0.096841
Marijuana Use in the Past Month,12 or Older,2007-08,Maryland,0.054063,0.044155,0.06604
Marijuana Use in the Past Month,12 or Older,2007-08,Massachusetts,0.070748,0.0589,0.084764
Marijuana Use in the Past Month,12 or Older,2007-08,Michigan,0.070155,0.063497,0.077454
Marijuana Use in the Past Month,12 or Older,2007-08,Minnesota,0.071093,0.058944,0.085519
Marijuana Use in the Past Month,12 or Older,2007-08,Mississippi,0.043907,0.035243,0.054579
Marijuana Use in the Past Month,12 or Older,2007-08,Missouri,0.054039,0.044315,0.06575
Marijuana Use in the Past Month,12 or Older,2007-08,Montana,0.083281,0.069867,0.098997
Marijuana Use in the Past Month,12 or Older,2007-08,Nebraska,0.049501,0.040343,0.060605
Marijuana Use in the Past Month,12 or Older,2007-08,Nevada,0.062282,0.050152,0.077109
Marijuana Use in the Past Month,12 or Older,2007-08,New Hampshire,0.09035,0.077268,0.105394
Marijuana Use in the Past Month,12 or Older,2007-08,New Jersey,0.048503,0.039418,0.059551
Marijuana Use in the Past Month,12 or Older,2007-08,New Mexico,0.061395,0.050326,0.074707
Marijuana Use in the Past Month,12 or Older,2007-08,New York,0.069441,0.062855,0.07666
Marijuana Use in the Past Month,12 or Older,2007-08,North Carolina,0.060203,0.049622,0.072867
Marijuana Use in the Past Month,12 or Older,2007-08,North Dakota,0.050119,0.04084,0.06137
Marijuana Use in the Past Month,12 or Older,2007-08,Ohio,0.058596,0.052605,0.065222
Marijuana Use in the Past Month,12 or Older,2007-08,Oklahoma,0.048091,0.038328,0.060184
Marijuana Use in the Past Month,12 or Older,2007-08,Oregon,0.085172,0.07076,0.102197
Marijuana Use in the Past Month,12 or Older,2007-08,Pennsylvania,0.051744,0.046078,0.058065
Marijuana Use in the Past Month,12 or Older,2007-08,Rhode Island,0.108787,0.093315,0.126466
Marijuana Use in the Past Month,12 or Older,2007-08,South Carolina,0.049899,0.040447,0.061419
Marijuana Use in the Past Month,12 or Older,2007-08,South Dakota,0.052562,0.042666,0.0646
Marijuana Use in the Past Month,12 or Older,2007-08,Tennessee,0.058296,0.048042,0.070576
Marijuana Use in the Past Month,12 or Older,2007-08,Texas,0.044274,0.039202,0.049969
Marijuana Use in the Past Month,12 or Older,2007-08,Utah,0.042832,0.03431,0.053353
Marijuana Use in the Past Month,12 or Older,2007-08,Vermont,0.10169,0.086659,0.118989
Marijuana Use in the Past Month,12 or Older,2007-08,Virginia,0.057678,0.047705,0.069584
Marijuana Use in the Past Month,12 or Older,2007-08,Washington,0.073371,0.060498,0.088725
Marijuana Use in the Past Month,12 or Older,2007-08,West Virginia,0.048048,0.039061,0.058977
Marijuana Use in the Past Month,12 or Older,2007-08,Wisconsin,0.063953,0.053273,0.076601
Marijuana Use in the Past Month,12 or Older,2007-08,Wyoming,0.055813,0.046124,0.067393
